,Maze Size,Batchsize,Model,Path Accuracy (%),Inference Time GPU (Batch Load) (µs),Inference Time GPU (Single Load) (µs),Inference Time CPU (µs),Memory Usage GPU (MB),Memory Usage CPU (MB),Speedup GPU (Daten auf GPU),Speedup GPU (Daten im RAM),Speedup CPU
0,10x10,32,FCAE,99.99,70.38926,43.96901600837708,256.862195,18.727051,19.109375,124.8393144627502,122.3456676626422,6.88527575116119
1,10x10,64,FCAE,99.985,37.457516,27.35303669763259,193.809462,21.645508,29.65234375,164.63391712066547,159.35006568115986,6.523317112930616
2,10x10,128,FCAE,99.975,33.789828,21.625981514288743,168.371461,31.505859,33.234375,173.86595938475352,188.96925064573017,6.641045670671488
3,10x10,256,FCAE,99.975,23.255814,14.685482621381556,96.457941,51.226562,37.171875,176.24082697401266,180.60959597542572,7.331847350205949
4,20x20,32,FCAE,98.91,74.389075,69.62814494729042,722.765038,27.605469,21.78515625,,,
5,20x20,64,FCAE,99.075,54.67035,44.88599903334063,624.144918,39.216797,33.078125,,,
6,20x20,128,FCAE,99.07,47.582912,38.02117068961168,783.581929,60.439453,54.89453125,,,
7,20x20,256,FCAE,99.145,44.814616,39.93655381417727,648.746496,103.884766,90.70703125,,,
8,30x30,32,FCAE,89.41,99.435137,78.13902560591697,649.262637,50.04834,25.1953125,,,
9,30x30,64,FCAE,89.535,57.357958,55.13969394869317,586.131163,71.287109,43.734375,,,
10,30x30,128,FCAE,89.885,43.395508,39.14589170058062,595.623207,111.905273,78.79296875,,,
11,30x30,256,FCAE,89.695,40.642596,37.46357560157776,564.974525,149.641602,133.76171875,,,
12,40x40,32,FCAE,84.185,103.463223,94.0666781437397,1560.136375,53.18457,45.3671875,,,
13,40x40,64,FCAE,84.075,77.089782,71.8736916756668,1804.124627,77.55957,79.91015625,,,
14,40x40,128,FCAE,83.975,70.072768,69.72702804264749,1353.656063,125.450195,130.06640625,,,
15,40x40,256,FCAE,83.845,65.203,69.51471822737139,1310.822406,174.731445,231.0390625,,,
16,50x50,32,FCAE,75.105,121.601045,119.17208215236664,2160.750212,117.786621,56.6875,,,
17,50x50,64,FCAE,75.5,92.779269,89.80156013759942,2266.390297,117.786621,112.6953125,,,
18,50x50,128,FCAE,75.285,79.082181,85.95184782508072,2250.26317,117.786621,180.57421875,,,
19,50x50,256,FCAE,75.055,83.91049,85.99051625668248,2067.01517,239.704102,346.98828125,,,
20,10x10,32,A*,100.0,,,465.964825,,0.110728,,,
21,10x10,64,A*,100.0,,,474.557598,,0.110997,,,
22,10x10,128,A*,100.0,,,460.597665,,0.109087,,,
23,10x10,256,A*,100.0,,,456.35677,,0.1071,,,
24,20x20,32,A*,100.0,,,1818.847837,,0.171298,,,
25,20x20,64,A*,100.0,,,1809.968201,,0.169083,,,
26,20x20,128,A*,100.0,,,1787.322868,,0.170323,,,
27,20x20,256,A*,100.0,,,1798.856482,,0.170348,,,
28,30x30,32,A*,100.0,,,4437.892147,,0.257788,,,
29,30x30,64,A*,100.0,,,4450.692115,,0.252508,,,
30,30x30,128,A*,100.0,,,4421.113668,,0.254536,,,
31,30x30,256,A*,100.0,,,4598.051694,,0.252389,,,
32,40x40,32,A*,100.0,,,8804.090355,,0.421038,,,
33,40x40,64,A*,100.0,,,8640.727841,,0.428521,,,
34,40x40,128,A*,100.0,,,8605.6361,,0.420042,,,
35,40x40,256,A*,100.0,,,8726.184161,,0.419682,,,
36,50x50,32,A*,100.0,,,14877.361039,,0.491665,,,
37,50x50,64,A*,100.0,,,14784.382609,,0.50494,,,
38,50x50,128,A*,100.0,,,14944.100483,,0.498095,,,
39,50x50,256,A*,100.0,,,15155.039697,,0.500588,,,
